t_sec,x_m,y_m,theta_rad
9.41752439,0.006020532615272375,-0.0003729685746548669,-0.01439909710195265
9.427545079,0.006022433450123184,-0.0003730548967949403,-0.01440380764044288
9.437330633,0.006024409838310854,-0.00037320616739391823,-0.014408259360059851
9.447574497,0.006026310666864283,-0.0003732924864827141,-0.014412969808965271
9.45734715,0.006028287048804615,-0.000373443753923661,-0.014417421435275702
9.467378224,0.006030187871060907,-0.0003735300699613094,-0.014422131794598407
9.477614009,0.006032164246754062,-0.0003736813342443932,-0.014426583327604532
9.487469654,0.0060340650627134194,-0.00037376764723105526,-0.014431293597346817
9.497558312,0.006036041432159631,-0.00037391890835637546,-0.01443574503705065
9.507585938,0.00603794224182226,-0.00037400521829219634,-0.014440455217214451
9.517566144,0.0060399186050217575,-0.0003741564762599223,-0.014444906563618007
9.527547782,0.006041819408387741,-0.00037424278314504637,-0.0144496166542054
9.537355849,0.006043795765340597,-0.0003743940379552921,-0.014454067907310957
9.547513479,0.006045696562410187,-0.0003744803417898569,-0.014458777908324423
9.557499702,0.00604767291311662,-0.00037463159344278856,-0.01446322906813392
9.567287922,0.0060495737038899905,-0.00037471789422698857,-0.014467938979575365
9.577550872,0.006051550048350158,-0.0003748691427227301,-0.01447239004609094
9.587608639,0.0060534508328275284,-0.00037495544045664073,-0.014477099867962258
9.597498155,0.006055427171041662,-0.00037510668579532027,-0.01448155084118604
9.607509095,0.0060573279492233045,-0.00037519298047912063,-0.0144862605734896
9.617541631,0.006059304281191549,-0.0003753442226609085,-0.014490711453423654
9.627612406,0.006061205053077514,-0.00037543051429474335,-0.014495421096161656
9.637640742,0.006063181378800093,-0.0003755817533197303,-0.014499871882808173
9.647422036,0.006065082144390661,-0.00037566804190372323,-0.01450458143598246
9.657618314,0.006067058463867755,-0.00037581927777210523,-0.014509032129343402
9.667416165,0.006068959223163103,-0.0003759055633064069,-0.014513741592956373
9.677430653,0.006070935536394881,-0.00037605679601828134,-0.014518192193033807
